Class,Precision,Recall,F1Score,Accuracy,,,,,,,,,,,,,,SVM,,,
short serve,1.00,0.97,0.98,0.97,,98.41,96.88,,,,,,,,,,,,,,
long serve,0.76,1.00,0.87,1.00,,86.57,100.00,,,,,,,,,,,Class,PPV (%),TPR (%),F1 Score (%)
fclear,0.52,0.44,0.48,0.44,,47.92,44.23,,,,,,,,,,,bc clear,54.5,54.5,54.50
bclear,0.51,0.58,0.54,0.58,,54.21,58.00,,,,,,,,,,,bc smash,85.7,60,70.30
fc smash,0.52,0.41,0.46,0.41,,45.83,40.74,,,,,,,,,,,bh flick,62.5,100,76.90
bc smash,0.40,0.59,0.47,0.59,,47.22,58.62,,,,,,,,,,,fc clear,50,40,44.40
fh flick,0.65,0.45,0.54,0.45,,53.57,45.45,,,,,,,,,,,fc smash,85.7,66.7,75.00
bh flick,0.88,0.73,0.80,0.73,,80.00,73.33,,,,,,,,,,,fh flick,77.8,70,73.70
,,,0.64,0.65,,64.22,64.66,,,,,,,,,,,long serve,81.8,90,85.70
,,,,,,,,,,,,,,,,,,short serve,90.9,100,95.20
,,,,,,,,,,,,,,,,,,average,,,71.9625
confMat,,,,TRUE,,,,,,,,,,TOTL,,,,,,,
class,shotcount,,,bc sma,17,,3,1,,5,3,,,58.62068966,41.37931034,,,,,,
short serve,31,,,bclear,,29,,,21,,,,,58,42,,,,,,
long serve,30,,,bhflick,1,,22,,,3,4,,,73.33333333,26.66666667,,,Class,PPV (%),TPR (%),F1 Score (%)
fcclear,58,,,fc sma,16,,,11,,,,,,40.74074074,59.25925926,,,bc clear,38.5,45.4,41.67
bcclear,55,,,fclear,,28,,,23,,1,,,44.23076923,55.76923077,,,bc smash,50,40,44.44
fcsmash,28,,,fhflick,8,,,9,,15,1,,,45.45454545,54.54545455,,,bh flick,66.7,60,63.17
bcsmash,20,,,long ser,,,,,,,29,,,100,0,,,fc clear,33.3,20,24.99
bhflick,33,,,short ser,1,,,,,,,31,,96.875,3.125,,,fc smash,66.7,66.7,66.70
fhflick,33,,,,bc sma,bclear,bhflick,fc sma,fclear,fhflick,long ser,short ser,PRED,,,,,fh flick,66.7,80,72.75
,,,,,,,,,,,,,,,,,,long serve,80,80,80.00
,,,,,,,,,,,,,,,,,,short serve,76.9,100,86.94
,,,,TOTL,39.53488372,50.87719298,88,52.38095238,52.27272727,65.2173913,76.31578947,100,,,,,,average,,,60.08
,,,,,60.46511628,49.12280702,12,47.61904762,47.72727273,34.7826087,23.68421053,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,TRUE,,,,,,,,,,TOTL,,,,,,,
,,,,bc sma,58.62068966,,10.34482759,3.448275862,,17.24137931,10.34482759,,,58.62068966,,29,,,,,
,,,,bclear,,29,,,21,,,,,29,,50,,,,,
,,,,bhflick,1,,22,,,3,4,,,22,,30,,,,,
,,,,fc sma,16,,,11,,,,,,11,,27,,,,,
,,,,fclear,,28,,,23,,1,,,23,,52,,,,,
,,,,fhflick,8,,,9,,15,1,,,15,,33,,,,,
,,,,long ser,,,,,,,29,,,29,,29,,,,,
,,,,short ser,1,,,,,,,31,,31,,32,,,,,
,,,,,bc sma,bclear,bhflick,fc sma,fclear,fhflick,long ser,short ser,PRED,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,TOTL,58.62068966,29,22,11,23,15,29,31,,,,,,,,,
,,,,,26,28,10.34482759,12.44827586,21,20.24137931,16.34482759,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,43,57,25,21,44,23,38,31,,,,,,,,,
